Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Segment,Region,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
ORD-1464,2021-02-08,2021-02-13,Standard Class,CUS-77552,Consumer,West,Furniture,Bookcases,Realspace Bookcase,1001.16,5,0.15,99.36
ORD-1515,2021-02-08,2021-02-11,Standard Class,CUS-18683,Corporate,West,Furniture,Chairs,Hon Office Chair,1313.15,1,0,271.37
ORD-1029,2021-02-18,2021-02-25,First Class,CUS-13617,Corporate,South,Office Supplies,Binders,Wilson Jones Binder,2241.86,5,0.2,-81.9
ORD-1035,2021-02-20,2021-02-24,Same Day,CUS-62383,Consumer,North,Clothing,Footwear,New Balance,7820.16,7,0.05,1555.85
ORD-1468,2021-02-21,2021-02-22,Standard Class,CUS-54470,Corporate,South,Clothing,Footwear,Skechers Comfort,4592.44,8,0.3,-500.69
ORD-1046,2021-02-22,2021-03-01,First Class,CUS-99687,Home Office,East,Clothing,Workwear,Dickies Pants,1416.51,2,0.05,46.06
ORD-1189,2021-02-23,2021-03-01,Second Class,CUS-84967,Corporate,North,Furniture,Furnishings,Deflecto Barrier,441.15,1,0.2,-4.25
ORD-1530,2021-02-25,2021-02-27,Second Class,CUS-94945,Corporate,East,Furniture,Tables,Bretford Table,4902.01,6,0,1267.34
ORD-1050,2021-02-28,2021-03-05,First Class,CUS-82848,Corporate,West,Technology,Phones,Apple iPhone,6735.3,6,0.15,-468.05
ORD-1295,2021-03-01,2021-03-02,Second Class,CUS-97797,Corporate,South,Clothing,Footwear,New Balance,914.7,8,0.1,97.73
ORD-1186,2021-03-02,2021-03-07,Same Day,CUS-21232,Corporate,East,Clothing,Outerwear,Patagonia Vest,12718.15,9,0.2,-2160.19
ORD-1097,2021-03-04,2021-03-07,Standard Class,CUS-16895,Home Office,North,Technology,Phones,Nokia Lumia,2810.43,8,0.15,-171.04
ORD-1090,2021-03-05,2021-03-06,First Class,CUS-89730,Corporate,North,Clothing,Workwear,Carhartt Work Shirt,6961.05,8,0.3,-2437.46
ORD-1014,2021-03-06,2021-03-10,Same Day,CUS-34957,Consumer,East,Technology,Machines,Swingline Trimmer,2251.6,4,0.3,-685.37
ORD-1182,2021-03-06,2021-03-13,Same Day,CUS-94529,Corporate,North,Clothing,Workwear,Wrangler Jeans,1118.63,1,0,114.46
ORD-1006,2021-03-07,2021-03-11,Same Day,CUS-94259,Corporate,East,Office Supplies,Appliances,Hoover Vacuum,14026.73,10,0.15,-1228.61
ORD-1184,2021-03-09,2021-03-11,Same Day,CUS-98740,Corporate,South,Furniture,Chairs,Alera Mesh Chair,8700.2,7,0.1,-227.41
ORD-1366,2021-03-13,2021-03-17,Same Day,CUS-78610,Corporate,East,Clothing,Workwear,Timberland Boots,7884.47,9,0,1888.52
ORD-1073,2021-03-15,2021-03-21,First Class,CUS-13794,Consumer,North,Office Supplies,Art,Newell Pencils,9048.18,7,0,1807.76
ORD-1239,2021-03-24,2021-03-27,Second Class,CUS-14073,Corporate,South,Technology,Accessories,Plantronics Headset,3747.1,6,0,984.89
ORD-1311,2021-03-25,2021-03-31,Second Class,CUS-15235,Corporate,West,Office Supplies,Art,Dixon Ticonderoga,13962.81,10,0,2363.23
ORD-1474,2021-03-25,2021-03-26,First Class,CUS-64555,Consumer,South,Clothing,Outerwear,Columbia Jacket,1085.52,8,0,139.43
ORD-1520,2021-03-25,2021-04-01,Same Day,CUS-39605,Corporate,North,Clothing,Footwear,New Balance,3703.26,5,0.1,427.74
ORD-1026,2021-03-27,2021-04-03,Same Day,CUS-91351,Corporate,East,Furniture,Furnishings,Eldon Shelf,4333.23,4,0.15,284.4
ORD-1541,2021-03-28,2021-04-01,First Class,CUS-98037,Consumer,West,Furniture,Bookcases,Atlantic Bookcase,4123.1,10,0,1332.4
ORD-1263,2021-03-29,2021-04-03,Same Day,CUS-82358,Consumer,West,Clothing,Outerwear,North Face Parka,3638.98,10,0,376.63
ORD-1335,2021-03-30,2021-04-01,Same Day,CUS-88558,Home Office,South,Technology,Copiers,Canon Imageclass,1767.58,10,0,264.66
ORD-1565,2021-03-31,2021-04-05,Same Day,CUS-22130,Corporate,West,Technology,Copiers,Canon Imageclass,2877.74,5,0,808.14
ORD-1074,2021-04-05,2021-04-12,Second Class,CUS-32280,Consumer,East,Office Supplies,Binders,Cardinal Binder,1460.96,7,0.2,-98.18
ORD-1008,2021-04-07,2021-04-12,Standard Class,CUS-99166,Consumer,North,Technology,Phones,Samsung Galaxy,2634.97,7,0.3,-598.5
ORD-1395,2021-04-11,2021-04-15,Same Day,CUS-95491,Corporate,West,Furniture,Tables,HON Conference Table,2655.35,3,0.3,-581.5
ORD-1344,2021-04-17,2021-04-20,Second Class,CUS-58606,Corporate,South,Furniture,Bookcases,Sauder Bookcase,8810.91,8,0.2,-1728.72
ORD-1280,2021-04-21,2021-04-28,Second Class,CUS-20592,Consumer,South,Technology,Machines,Swingline Trimmer,7160.53,10,0.3,-2372.49
ORD-1055,2021-04-22,2021-04-25,Second Class,CUS-16734,Home Office,East,Technology,Phones,Samsung Galaxy,507.06,1,0.3,-122.07
ORD-1258,2021-04-22,2021-04-24,First Class,CUS-20739,Consumer,East,Clothing,Footwear,Skechers Comfort,7228.53,10,0,628.51
ORD-1413,2021-04-22,2021-04-25,Same Day,CUS-13265,Corporate,South,Clothing,Footwear,Nike Running Shoes,3503.23,3,0,652.05
ORD-1546,2021-04-22,2021-04-26,Standard Class,CUS-61508,Corporate,South,Clothing,Sportswear,Adidas Track Pants,1560.77,2,0.05,369.22
ORD-1135,2021-04-24,2021-04-29,First Class,CUS-20336,Home Office,North,Technology,Machines,GBC Binding Sys,1122.02,3,0.05,110.44
ORD-1469,2021-04-25,2021-05-02,Second Class,CUS-85936,Home Office,East,Furniture,Tables,Bevis Training Table,2793.65,4,0.3,-324.55
ORD-1529,2021-04-25,2021-04-27,First Class,CUS-55727,Corporate,West,Clothing,Workwear,Timberland Boots,2856.64,5,0,683.95
ORD-1590,2021-04-29,2021-05-04,Second Class,CUS-62944,Corporate,East,Clothing,Sportswear,Adidas Track Pants,497.75,6,0.1,86.14
ORD-1246,2021-04-30,2021-05-07,Standard Class,CUS-38758,Home Office,West,Office Supplies,Art,Dixon Ticonderoga,568.14,2,0.05,43.73
ORD-1422,2021-04-30,2021-05-05,First Class,CUS-27001,Home Office,North,Furniture,Tables,Bretford Table,4173.39,7,0.15,-312.55
ORD-1178,2021-05-01,2021-05-03,Standard Class,CUS-38668,Consumer,North,Furniture,Bookcases,Realspace Bookcase,3194.33,3,0.05,74.59
ORD-1211,2021-05-02,2021-05-07,Standard Class,CUS-27771,Home Office,East,Office Supplies,Art,BIC Pens,1756.75,5,0.1,328.77
ORD-1378,2021-05-03,2021-05-07,Second Class,CUS-12798,Corporate,North,Technology,Accessories,Plantronics Headset,3088.11,8,0.15,223.86
ORD-1058,2021-05-04,2021-05-08,Same Day,CUS-87832,Consumer,North,Technology,Machines,Fellowes Shredder,1075.29,3,0,131.47
ORD-1019,2021-05-05,2021-05-06,Standard Class,CUS-98501,Consumer,East,Furniture,Tables,Chromcraft Table,1385.87,1,0,429.43
ORD-1236,2021-05-08,2021-05-14,First Class,CUS-51688,Home Office,West,Technology,Copiers,Brother Laser,3671.93,5,0.2,-113.11
ORD-1308,2021-05-08,2021-05-13,Same Day,CUS-41142,Consumer,East,Furniture,Furnishings,Deflecto Barrier,1729.44,2,0.05,355.32
ORD-1462,2021-05-08,2021-05-10,Same Day,CUS-33388,Corporate,West,Office Supplies,Appliances,Avery Coffeemaker,1737.77,5,0,369.74
ORD-1319,2021-05-10,2021-05-13,Same Day,CUS-59992,Home Office,North,Furniture,Furnishings,Advantus Panel,4017.85,5,0.1,376.76
ORD-1549,2021-05-16,2021-05-23,Second Class,CUS-10403,Corporate,East,Office Supplies,Envelopes,Poly Envelope,1228.62,1,0,307.33
ORD-1490,2021-05-18,2021-05-25,Second Class,CUS-52003,Consumer,South,Office Supplies,Art,Newell Pencils,6483.47,8,0.05,1350.88
ORD-1318,2021-05-25,2021-05-26,Standard Class,CUS-94072,Corporate,South,Clothing,Workwear,Wrangler Jeans,4737.28,7,0,877.18
ORD-1134,2021-06-01,2021-06-03,Same Day,CUS-75911,Corporate,South,Furniture,Tables,HON Conference Table,4959.42,9,0,1424.85
ORD-1196,2021-06-01,2021-06-08,Standard Class,CUS-24335,Home Office,West,Clothing,Workwear,Wrangler Jeans,630.05,9,0.15,28.0
ORD-1256,2021-06-03,2021-06-04,First Class,CUS-36941,Corporate,North,Clothing,Footwear,New Balance,2568.56,3,0.2,-456.13
ORD-1105,2021-06-04,2021-06-10,First Class,CUS-29786,Home Office,South,Clothing,Workwear,Wrangler Jeans,5418.52,10,0.15,478.71
ORD-1104,2021-06-06,2021-06-08,Second Class,CUS-95918,Home Office,North,Technology,Machines,Acco Punch,902.39,3,0,134.56
ORD-1262,2021-06-11,2021-06-18,Second Class,CUS-26539,Home Office,West,Furniture,Chairs,Hon Office Chair,1776.51,8,0,608.43
ORD-1298,2021-06-11,2021-06-12,Standard Class,CUS-62879,Corporate,West,Clothing,Footwear,New Balance,3160.57,8,0.3,-533.46
ORD-1345,2021-06-13,2021-06-17,Standard Class,CUS-36438,Home Office,North,Clothing,Workwear,Timberland Boots,1085.37,10,0,274.47
ORD-1039,2021-06-15,2021-06-19,Same Day,CUS-18161,Consumer,South,Technology,Phones,Apple iPhone,376.54,4,0.2,-49.2
ORD-1489,2021-06-15,2021-06-18,First Class,CUS-32972,Home Office,East,Furniture,Furnishings,Advantus Panel,700.29,2,0.3,-142.04
ORD-1340,2021-06-21,2021-06-22,Standard Class,CUS-59155,Home Office,East,Clothing,Sportswear,Nike Dri-Fit Tee,882.83,1,0,208.4
ORD-1454,2021-06-22,2021-06-24,Second Class,CUS-85727,Home Office,South,Technology,Phones,Nokia Lumia,1280.56,7,0.3,-222.79
ORD-1522,2021-06-24,2021-06-29,Same Day,CUS-26090,Consumer,North,Clothing,Workwear,Carhartt Work Shirt,390.05,3,0.05,37.61
ORD-1121,2021-06-25,2021-06-26,First Class,CUS-18855,Consumer,East,Furniture,Tables,HON Conference Table,796.64,1,0.15,-60.95
ORD-1504,2021-06-26,2021-06-30,First Class,CUS-64331,Consumer,South,Office Supplies,Envelopes,Kraft Envelope,1707.15,2,0.2,-334.8
ORD-1575,2021-06-29,2021-07-01,Same Day,CUS-95016,Consumer,South,Furniture,Chairs,Hon Office Chair,767.52,1,0.05,181.85
ORD-1103,2021-06-30,2021-07-02,First Class,CUS-32037,Consumer,West,Technology,Phones,Nokia Lumia,1194.48,9,0.1,156.92
ORD-1282,2021-06-30,2021-07-05,Second Class,CUS-58903,Home Office,South,Clothing,Workwear,Wrangler Jeans,5246.09,7,0.2,-1147.53
ORD-1476,2021-06-30,2021-07-07,Second Class,CUS-70845,Corporate,East,Clothing,Footwear,Adidas Sneakers,1155.24,4,0,285.47
ORD-1253,2021-07-01,2021-07-02,Standard Class,CUS-16310,Corporate,East,Furniture,Furnishings,Eldon Shelf,4493.3,4,0.15,-340.15
ORD-1268,2021-07-02,2021-07-04,Standard Class,CUS-50779,Corporate,South,Technology,Phones,Nokia Lumia,11640.38,9,0,2550.67
ORD-1142,2021-07-04,2021-07-09,Same Day,CUS-47453,Home Office,West,Clothing,Outerwear,North Face Parka,4068.28,10,0,634.51
ORD-1542,2021-07-04,2021-07-11,First Class,CUS-75070,Home Office,West,Technology,Copiers,Canon Imageclass,7984.77,10,0,1764.06
ORD-1543,2021-07-04,2021-07-06,Second Class,CUS-24000,Home Office,South,Furniture,Furnishings,Tenex Mat,6887.42,10,0.05,1774.1
ORD-1218,2021-07-06,2021-07-12,First Class,CUS-25806,Consumer,North,Technology,Phones,Samsung Galaxy,1692.61,3,0.3,-622.02
ORD-1188,2021-07-07,2021-07-12,Same Day,CUS-23538,Corporate,North,Clothing,Sportswear,Adidas Track Pants,578.82,2,0,113.66
ORD-1430,2021-07-09,2021-07-14,First Class,CUS-52904,Home Office,West,Furniture,Tables,Chromcraft Table,1102.39,4,0.3,-189.88
ORD-1052,2021-07-10,2021-07-16,First Class,CUS-56112,Consumer,East,Clothing,Outerwear,Patagonia Vest,4838.61,10,0.15,-145.71
ORD-1235,2021-07-10,2021-07-14,Standard Class,CUS-87580,Consumer,North,Clothing,Sportswear,Puma Tights,1579.35,2,0,398.07
ORD-1217,2021-07-11,2021-07-18,Second Class,CUS-66260,Corporate,East,Furniture,Furnishings,Eldon Shelf,710.13,1,0.1,89.49
ORD-1015,2021-07-13,2021-07-19,Standard Class,CUS-17944,Home Office,North,Clothing,Sportswear,Puma Tights,3842.43,7,0,1005.98
ORD-1338,2021-07-17,2021-07-24,Same Day,CUS-78425,Corporate,South,Furniture,Bookcases,Bush Classic Bookcase,7986.02,8,0,2572.95
ORD-1154,2021-07-25,2021-07-31,Standard Class,CUS-21725,Consumer,South,Technology,Phones,Nokia Lumia,5459.14,8,0.1,91.25
ORD-1265,2021-07-26,2021-07-29,Same Day,CUS-28855,Home Office,East,Office Supplies,Envelopes,Kraft Envelope,4013.42,7,0.3,-1444.37
ORD-1585,2021-07-28,2021-08-03,Same Day,CUS-76308,Home Office,North,Furniture,Chairs,Hon Office Chair,4105.15,4,0,1135.71
ORD-1274,2021-07-29,2021-08-04,First Class,CUS-46291,Home Office,North,Office Supplies,Binders,Cardinal Binder,960.06,2,0.15,116.99
ORD-1372,2021-07-29,2021-08-01,Same Day,CUS-50838,Corporate,East,Technology,Phones,Samsung Galaxy,959.25,4,0,204.58
ORD-1512,2021-07-29,2021-07-31,Standard Class,CUS-72851,Consumer,South,Technology,Copiers,Canon Imageclass,3854.11,7,0,429.63
ORD-1116,2021-07-30,2021-07-31,Second Class,CUS-69130,Corporate,North,Furniture,Chairs,Staples Fabric Chair,12482.21,8,0,3799.37
ORD-1353,2021-08-07,2021-08-12,First Class,CUS-74330,Consumer,North,Clothing,Footwear,Nike Running Shoes,3567.03,8,0.15,-43.05
ORD-1088,2021-08-14,2021-08-16,Same Day,CUS-78955,Consumer,North,Furniture,Furnishings,Eldon Shelf,4645.71,10,0,704.52
ORD-1480,2021-08-14,2021-08-19,Same Day,CUS-17122,Consumer,East,Furniture,Chairs,Flash Chair,2197.29,4,0.05,54.61
ORD-1120,2021-08-16,2021-08-20,Second Class,CUS-97080,Home Office,West,Furniture,Chairs,Alera Mesh Chair,2062.04,5,0.15,-165.06
ORD-1000,2021-08-17,2021-08-18,Standard Class,CUS-22280,Home Office,North,Office Supplies,Art,Dixon Ticonderoga,2515.92,3,0,602.39
ORD-1500,2021-08-19,2021-08-20,First Class,CUS-17213,Consumer,West,Technology,Accessories,Belkin Cable,510.59,1,0.05,64.03
ORD-1449,2021-08-20,2021-08-26,Standard Class,CUS-99662,Home Office,West,Furniture,Chairs,Staples Fabric Chair,4601.67,8,0,672.82
ORD-1089,2021-08-21,2021-08-28,First Class,CUS-70036,Corporate,North,Clothing,Sportswear,Champion Shorts,7200.5,8,0,1989.9
ORD-1130,2021-08-21,2021-08-23,First Class,CUS-74382,Home Office,North,Technology,Phones,Nokia Lumia,1404.32,9,0.1,168.65
ORD-1315,2021-08-21,2021-08-24,Second Class,CUS-51984,Corporate,West,Office Supplies,Appliances,Avery Coffeemaker,8369.37,9,0.3,-1996.62
ORD-1204,2021-08-22,2021-08-24,First Class,CUS-25328,Corporate,East,Clothing,Outerwear,Patagonia Vest,11367.62,10,0,1870.66
ORD-1009,2021-08-23,2021-08-29,First Class,CUS-75612,Home Office,East,Office Supplies,Appliances,Avery Coffeemaker,1655.63,7,0,558.83
ORD-1060,2021-08-24,2021-08-31,First Class,CUS-67560,Home Office,South,Technology,Machines,GBC Binding Sys,172.36,2,0.1,15.63
ORD-1030,2021-08-25,2021-08-30,Standard Class,CUS-60488,Consumer,East,Office Supplies,Appliances,Holmes Heater,5607.43,10,0.15,-152.37
ORD-1292,2021-08-26,2021-08-29,Standard Class,CUS-58840,Consumer,North,Furniture,Chairs,Alera Mesh Chair,2130.54,6,0.3,-238.89
ORD-1350,2021-08-27,2021-08-28,First Class,CUS-42539,Consumer,East,Clothing,Outerwear,North Face Parka,3208.65,6,0.15,-17.79
ORD-1433,2021-08-29,2021-09-01,First Class,CUS-45527,Consumer,East,Technology,Machines,Fellowes Shredder,1382.45,1,0,187.7
ORD-1160,2021-08-31,2021-09-02,Second Class,CUS-27507,Corporate,West,Technology,Phones,Motorola Droid,1927.56,2,0.1,56.36
ORD-1334,2021-08-31,2021-09-04,Standard Class,CUS-41938,Corporate,South,Office Supplies,Appliances,Sanyo Microwave,5936.64,8,0,1512.42
ORD-1393,2021-09-04,2021-09-06,First Class,CUS-75850,Home Office,South,Furniture,Tables,Bevis Training Table,2241.15,5,0.15,1.75
ORD-1047,2021-09-05,2021-09-12,Same Day,CUS-23833,Corporate,North,Clothing,Sportswear,Champion Shorts,10227.46,9,0,3164.23
ORD-1238,2021-09-05,2021-09-11,First Class,CUS-89076,Consumer,East,Clothing,Sportswear,Puma Tights,6182.13,5,0,757.66
ORD-1302,2021-09-05,2021-09-12,Standard Class,CUS-69048,Consumer,West,Clothing,Outerwear,Patagonia Vest,1933.52,2,0,638.43
ORD-1564,2021-09-07,2021-09-10,Standard Class,CUS-53178,Corporate,West,Furniture,Furnishings,Eldon Shelf,136.85,1,0.3,-33.86
ORD-1061,2021-09-12,2021-09-13,Same Day,CUS-52247,Home Office,West,Office Supplies,Envelopes,Kraft Envelope,3772.75,9,0.3,-1313.98
ORD-1216,2021-09-12,2021-09-15,Second Class,CUS-45916,Corporate,South,Clothing,Footwear,New Balance,5903.54,4,0,1878.39
ORD-1482,2021-09-18,2021-09-25,First Class,CUS-38816,Home Office,North,Furniture,Furnishings,Eldon Shelf,1347.48,2,0.3,-346.41
ORD-1383,2021-09-23,2021-09-28,First Class,CUS-16433,Consumer,South,Technology,Accessories,Kensington Lock,497.24,4,0.2,-21.06
ORD-1066,2021-09-26,2021-09-27,Same Day,CUS-22217,Corporate,East,Clothing,Footwear,Nike Running Shoes,15119.69,10,0,2478.16
ORD-1294,2021-09-29,2021-10-06,First Class,CUS-90131,Consumer,North,Furniture,Tables,HON Conference Table,9131.67,10,0,2237.78
ORD-1166,2021-09-30,2021-10-04,Same Day,CUS-79721,Consumer,East,Technology,Phones,Apple iPhone,4848.22,4,0,1668.72
ORD-1037,2021-10-01,2021-10-05,Same Day,CUS-43972,Home Office,West,Office Supplies,Envelopes,Mead Envelope,4520.7,9,0,1269.35
ORD-1528,2021-10-03,2021-10-10,Second Class,CUS-76412,Home Office,East,Clothing,Workwear,Carhartt Work Shirt,5899.63,10,0.3,-1424.78
ORD-1084,2021-10-05,2021-10-08,Standard Class,CUS-58566,Corporate,West,Office Supplies,Envelopes,Staples Envelope,5371.94,7,0.3,-1094.66
ORD-1192,2021-10-05,2021-10-12,Second Class,CUS-49378,Consumer,East,Clothing,Sportswear,Puma Tights,3204.04,6,0.2,0.57
ORD-1371,2021-10-07,2021-10-08,Standard Class,CUS-34371,Consumer,East,Clothing,Workwear,Timberland Boots,6281.11,10,0.15,-877.87
ORD-1079,2021-10-08,2021-10-11,First Class,CUS-64460,Home Office,North,Furniture,Furnishings,Deflecto Barrier,669.94,1,0,69.9
ORD-1434,2021-10-17,2021-10-18,Second Class,CUS-13800,Home Office,East,Technology,Copiers,Canon Imageclass,3274.02,5,0.15,3.13
ORD-1213,2021-10-19,2021-10-25,First Class,CUS-58374,Home Office,East,Clothing,Workwear,Wrangler Jeans,1588.49,2,0,299.86
ORD-1431,2021-10-21,2021-10-22,Standard Class,CUS-53684,Home Office,North,Technology,Copiers,Canon Imageclass,3708.03,8,0,300.76
ORD-1416,2021-10-24,2021-10-26,Standard Class,CUS-27245,Home Office,South,Furniture,Tables,Bretford Table,2514.48,5,0.3,-734.3
ORD-1406,2021-10-25,2021-11-01,First Class,CUS-64269,Corporate,South,Furniture,Bookcases,Sauder Bookcase,7524.49,6,0,2079.1
ORD-1576,2021-10-25,2021-10-27,Second Class,CUS-68361,Corporate,South,Technology,Accessories,Belkin Cable,1741.97,8,0.2,-372.97
ORD-1091,2021-10-31,2021-11-04,Standard Class,CUS-24996,Consumer,North,Office Supplies,Binders,Ibico Binder,5083.08,10,0.3,-1186.91
ORD-1171,2021-11-02,2021-11-03,Same Day,CUS-64592,Corporate,East,Technology,Phones,Apple iPhone,2470.08,4,0,735.0
ORD-1071,2021-11-08,2021-11-10,Same Day,CUS-95823,Consumer,West,Technology,Machines,Fellowes Shredder,968.25,8,0.3,-354.24
ORD-1093,2021-11-09,2021-11-14,Standard Class,CUS-86869,Consumer,West,Furniture,Bookcases,Bush Classic Bookcase,1006.15,7,0.15,74.63
ORD-1129,2021-11-11,2021-11-17,First Class,CUS-42717,Corporate,West,Office Supplies,Envelopes,Poly Envelope,2417.37,10,0.15,-90.73
ORD-1312,2021-11-11,2021-11-14,Second Class,CUS-34100,Home Office,East,Furniture,Furnishings,Deflecto Barrier,6963.38,10,0,2031.14
ORD-1497,2021-11-11,2021-11-13,Standard Class,CUS-97235,Consumer,South,Furniture,Bookcases,Atlantic Bookcase,1671.05,10,0.1,49.82
ORD-1567,2021-11-12,2021-11-17,Second Class,CUS-74175,Corporate,North,Clothing,Workwear,Timberland Boots,2874.01,10,0,875.58
ORD-1027,2021-11-13,2021-11-17,Second Class,CUS-44970,Consumer,South,Technology,Phones,Samsung Galaxy,2173.1,3,0.15,143.96
ORD-1072,2021-11-13,2021-11-19,Same Day,CUS-80912,Corporate,North,Office Supplies,Binders,Ibico Binder,2355.56,2,0.2,88.61
ORD-1098,2021-11-15,2021-11-19,First Class,CUS-38255,Home Office,South,Furniture,Bookcases,Atlantic Bookcase,3668.38,8,0.3,-756.01
ORD-1582,2021-11-17,2021-11-20,First Class,CUS-56798,Consumer,West,Clothing,Workwear,Timberland Boots,1221.56,4,0,427.3
ORD-1598,2021-11-18,2021-11-19,First Class,CUS-49967,Consumer,East,Clothing,Footwear,Nike Running Shoes,5094.21,6,0,1126.58
ORD-1583,2021-11-21,2021-11-23,Same Day,CUS-43793,Home Office,South,Furniture,Bookcases,Atlantic Bookcase,972.29,7,0.05,36.54
ORD-1028,2021-11-23,2021-11-30,Second Class,CUS-39219,Corporate,North,Furniture,Tables,Chromcraft Table,3960.25,4,0.3,-1091.41
ORD-1141,2021-11-24,2021-11-27,Same Day,CUS-13037,Home Office,East,Office Supplies,Art,Dixon Ticonderoga,6827.92,8,0.3,-1606.85
ORD-1597,2021-11-30,2021-12-04,Same Day,CUS-14273,Home Office,South,Technology,Phones,Nokia Lumia,2817.94,3,0,753.82
ORD-1493,2021-12-04,2021-12-10,Second Class,CUS-72115,Consumer,East,Technology,Phones,Apple iPhone,3114.2,4,0,495.64
ORD-1297,2021-12-05,2021-12-09,Same Day,CUS-40801,Corporate,North,Office Supplies,Art,BIC Pens,732.93,5,0.05,112.6
ORD-1206,2021-12-08,2021-12-12,Second Class,CUS-35575,Corporate,West,Technology,Copiers,Brother Laser,7075.87,8,0.15,792.48
ORD-1451,2021-12-10,2021-12-13,Standard Class,CUS-47593,Home Office,North,Office Supplies,Binders,Wilson Jones Binder,5347.17,8,0,1375.33
ORD-1553,2021-12-12,2021-12-13,Standard Class,CUS-78922,Corporate,North,Clothing,Sportswear,Nike Dri-Fit Tee,3293.97,2,0,1105.97
ORD-1438,2021-12-16,2021-12-21,Same Day,CUS-62535,Corporate,East,Technology,Accessories,Kensington Lock,1325.22,2,0,389.56
ORD-1005,2021-12-17,2021-12-24,Standard Class,CUS-40021,Consumer,South,Clothing,Workwear,Timberland Boots,2198.84,9,0.15,181.56
ORD-1471,2021-12-19,2021-12-24,Second Class,CUS-18271,Corporate,North,Furniture,Tables,Chromcraft Table,1766.78,10,0,195.81
ORD-1473,2021-12-22,2021-12-26,Second Class,CUS-86282,Consumer,East,Furniture,Furnishings,Eldon Shelf,1736.87,7,0.15,7.68
ORD-1201,2021-12-24,2021-12-28,Same Day,CUS-13826,Corporate,South,Clothing,Workwear,Dickies Pants,6693.17,7,0,1692.9
ORD-1355,2021-12-24,2021-12-27,First Class,CUS-90318,Consumer,West,Clothing,Sportswear,Champion Shorts,693.18,1,0.2,-43.76
ORD-1361,2021-12-24,2021-12-26,Second Class,CUS-93962,Corporate,East,Office Supplies,Envelopes,Mead Envelope,1370.95,2,0.1,75.69
ORD-1453,2021-12-24,2021-12-31,Standard Class,CUS-54937,Home Office,South,Clothing,Sportswear,Nike Dri-Fit Tee,3643.49,5,0.05,495.25
ORD-1075,2021-12-25,2021-12-29,First Class,CUS-97404,Home Office,North,Clothing,Outerwear,Under Armour Hoodie,1404.46,10,0.3,-277.75
ORD-1505,2021-12-25,2022-01-01,First Class,CUS-86704,Home Office,West,Technology,Copiers,HP LaserJet,1674.44,7,0.3,-600.45
ORD-1544,2021-12-25,2021-12-26,First Class,CUS-81531,Corporate,South,Clothing,Workwear,Timberland Boots,1200.01,10,0.15,52.68
ORD-1080,2021-12-26,2021-12-29,First Class,CUS-25095,Consumer,South,Office Supplies,Binders,Avery Binder,3661.34,5,0.3,-398.38
